ID	year	human_pop	cover_loss	fire	urbanization	bee	caterpillar	scorpion	snake	spider
RO	2007	1507971.9	16260020.86	223633.6698	41088.85209	21	9	79	491	43
RO	2008	1526117.6	16162566.15	123540.7977	41747.93941	18	6	68	441	47
RO	2009	1544263.3	16118738.36	47100.92354	42144.68513	45	16	91	458	49
RO	2010	1562409	16090490.15	314366.0533	43536.17246	40	11	99	488	68
RO	2011	1563974.583	15999399.41	201515.1546	44343.28039	56	14	95	462	81
RO	2012	1565540.167	15905954.81	67686.65261	45330.50035	64	26	175	461	93
RO	2013	1567105.75	15824585.16	50330.58151	46421.90587	58	32	174	456	111
RO	2014	1568671.333	15736239.4	86234.92768	47244.0285	103	44	151	551	116
RO	2015	1570236.917	15609259.6	140999.566	47861.70064	58	20	215	520	133
RO	2016	1571802.5	15427329.55	199125.2569	48385.72499	62	8	150	511	86
RO	2017	1573368.083	15257047.96	144535.6036	48798.23332	111	21	264	488	176
RO	2018	1574933.667	15124427.18	123909.1362	49551.97254	133	25	283	582	183
RO	2019	1576499.25	14933161.03	141704.2058	49900.79262	102	43	333	672	222
RO	2020	1578064.833	14782004.93	198538.9255	50238.82123	89	45	336	676	213
RO	2021	1579630.417	14557225.14	114916.5666	50248.08861	85	25	300	561	177
RO	2022	1581196	14185077.61	248453.8606	50611.44918	53	23	274	472	149
AC	2007	680855.9	14771325.14	36932.66176	12530.73626	11	5	64	302	19
AC	2008	698423.6	14733516.35	19256.00013	12753.42195	18	4	82	404	23
AC	2009	715991.3	14686927.06	8504.066167	12983.53004	28	9	95	441	40
AC	2010	733559	14645289.04	89344.04839	13408.03562	29	2	113	547	28
AC	2011	741597.25	14613702.16	8706.711827	13641.76193	53	10	134	469	67
AC	2012	749635.5	14586779.08	13138.1316	14016.90459	71	16	163	433	84
AC	2013	757673.75	14555306.71	23733.5878	14464.17365	87	14	175	481	78
AC	2014	765712	14521224.57	26857.15623	14761.0859	88	23	183	493	87
AC	2015	773750.25	14477075.42	32687.04378	14947.68985	91	10	228	534	96
AC	2016	781788.5	14442653.84	44563.59644	15147.47506	90	15	172	464	71
AC	2017	789826.75	14408752.77	24616.63576	15334.12132	84	11	227	452	89
AC	2018	797865	14364953.83	27514.71068	15590.65312	77	8	225	445	72
AC	2019	805903.25	14270313.79	52189.45685	15753.81011	71	12	278	511	80
AC	2020	813941.5	14185374.83	57633.11652	15942.23237	33	8	202	460	57
AC	2021	821979.75	14080638.72	65770.33068	15946.40693	46	18	229	468	62
AC	2022	830018	13952099.48	184589.4817	16217.91146	54	23	238	454	81
AM	2007	3283965.1	149797998.5	127493.3801	41091.1198	7	12	126	1316	58
AM	2008	3350638.4	149779732	145508.2316	42010.01997	6	23	191	1544	89
AM	2009	3417311.7	149651956.3	61994.40677	42591.95747	13	55	264	1682	149
AM	2010	3483985	149823486	214509.128	43322.16208	16	22	198	1469	104
AM	2011	3522120.667	149727974.5	132742.419	43887.9185	22	40	225	1417	116
AM	2012	3560256.333	149645501.8	91566.05662	44351.83792	42	61	344	1538	204
AM	2013	3598392	149642110.7	94412.27127	45127.37553	63	63	381	1743	220
AM	2014	3636527.667	149602392	213992.2617	45617.71299	20	72	388	1705	230
AM	2015	3674663.333	149539696.6	387035.899	46298.44555	25	16	329	1481	200
AM	2016	3712799	149610401.6	399296.8347	46731.47082	17	25	276	1468	188
AM	2017	3750934.667	149314338.1	197977.199	47140.12488	59	60	383	1590	160
